Location_Name,Address_Line_1,City,State,Zipcode,Extended_Address,Meeting_Name,Day,Start,End,Type
St. James Church,865 Madison Avenue,New York,NY,10021,"St. James Church,865 Madison Avenue,3rd Floor,Betw. 71st & 72nd Streets,10021",park bench   (:ii),Thursdays,12:30 PM,1:30 PM,C
Brick Church Parish House,62 East 92nd Street,New York,NY,10128,"Brick Church Parish House,62 East 92nd Street,Basement,Betw Madison & Park Avenues,NY 10128",park madison,Fridays,6:45 PM,7:45 PM,C
Brick Church Parish House,62 East 92nd Street,New York,NY,10128,"Brick Church Parish House,62 East 92nd Street,Basement,Betw Madison & Park Avenues,NY 10128",park madison,Tuesdays,6:45 PM,7:45 PM,B
Brick Church Parish House,62 East 92nd Street,New York,NY,10128,"Brick Church Parish House,62 East 92nd Street,Basement,Betw Madison & Park Avenues,NY 10128",park madison,Tuesdays,8:00 PM,9:00 PM,C
Brick Church Parish House,62 East 92nd Street,New York,NY,10128,"Brick Church Parish House,62 East 92nd Street,Basement,Betw Madison & Park Avenues,NY 10128",park madison,Fridays,8:00 PM,9:00 PM,S
St. Joseph's School,420 East 87th Street,New York,NY,10128,"St. Joseph's School,420 East 87th Street,Basement,Betw 1st & York Avenues,Enter thru Red Door NY 10128",recovery room,Wednesdays,7:00 PM,8:00 PM,B
Central Presbyterian Church,593 Park Avenue,New York,NY,10128,"Central Presbyterian Church,593 Park Avenue,5th Floor Library,@ 64th Street,10128",renewal east,Wednesdays,6:30 PM,7:30 PM,C
Church of the Good Shepard,543 Main St.,New York,NY,10044,"Church of the Good Shepard,543 Main St.,Basement 10044",roosevelt island serenity,Saturdays,6:30 PM,7:30 PM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Tuesdays,6:00 AM,7:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Mondays,6:00 AM,7:00 AM,C
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Fridays,6:00 AM,7:00 AM,BB
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Thursdays,6:00 AM,7:00 AM,S
St. Monica's Church,413 East 79th Street,New York,NY,10021,"St. Monica's Church,413 East 79th Street,Basement,Betw 1st & York Avenues,NY 10021",seventy-ninth street workshop,Wednesdays,6:00 AM,7:00 AM,C
